1694924796.123276 client started (29828): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1694924796.123325 on Darwin 22.5.0 Darwin Kernel Version 22.5.0: Thu Jun  8 22:22:20 PDT 2023; root:xnu-8796.121.3~7/RELEASE_ARM64_T6000
1694924796.123359 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1694924796.123381 flags are 0x10010000
1694924796.123388 socket is /private/tmp/tmux-501/default
1694924796.123399 trying connect
1694924796.123454 add peer 0x130008000: 6 (0x0)
1694924796.127302 sending message 100 to peer 0x130008000 (4 bytes)
1694924796.127319 sending message 111 to peer 0x130008000 (8 bytes)
1694924796.127325 sending message 101 to peer 0x130008000 (16 bytes)
1694924796.127330 sending message 109 to peer 0x130008000 (4 bytes)
1694924796.127335 sending message 102 to peer 0x130008000 (13 bytes)
1694924796.127341 sending message 108 to peer 0x130008000 (28 bytes)
1694924796.127346 sending message 112 to peer 0x130008000 (70 bytes)
1694924796.127351 sending message 112 to peer 0x130008000 (5 bytes)
1694924796.127357 sending message 112 to peer 0x130008000 (5 bytes)
1694924796.127362 sending message 112 to peer 0x130008000 (6 bytes)
1694924796.127367 sending message 112 to peer 0x130008000 (6 bytes)
1694924796.127372 sending message 112 to peer 0x130008000 (11 bytes)
1694924796.127377 sending message 112 to peer 0x130008000 (10 bytes)
1694924796.127383 sending message 112 to peer 0x130008000 (13 bytes)
1694924796.127388 sending message 112 to peer 0x130008000 (13 bytes)
1694924796.127393 sending message 112 to peer 0x130008000 (18 bytes)
1694924796.127398 sending message 112 to peer 0x130008000 (11 bytes)
1694924796.127403 sending message 112 to peer 0x130008000 (21 bytes)
1694924796.127408 sending message 112 to peer 0x130008000 (13 bytes)
1694924796.127413 sending message 112 to peer 0x130008000 (7 bytes)
1694924796.127418 sending message 112 to peer 0x130008000 (13 bytes)
1694924796.127423 sending message 112 to peer 0x130008000 (7 bytes)
1694924796.127428 sending message 112 to peer 0x130008000 (13 bytes)
